Epoch 151, Loss: 0.6662, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 152, Loss: 0.6725, Train Accuracy: 0.5850, Test Accuracy: 0.6800, lr: 0.002
Epoch 153, Loss: 0.6698, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 154, Loss: 0.6673, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 155, Loss: 0.6701, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 156, Loss: 0.6687, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 157, Loss: 0.6712, Train Accuracy: 0.5917, Test Accuracy: 0.6800, lr: 0.002
Epoch 158, Loss: 0.6682, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 159, Loss: 0.6678, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 160, Loss: 0.6693, Train Accuracy: 0.5900, Test Accuracy: 0.6933, lr: 0.002
Epoch 161, Loss: 0.6711, Train Accuracy: 0.5983, Test Accuracy: 0.6800, lr: 0.002
Epoch 162, Loss: 0.6683, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 163, Loss: 0.6694, Train Accuracy: 0.5875, Test Accuracy: 0.6867, lr: 0.002
Epoch 164, Loss: 0.6675, Train Accuracy: 0.5925, Test Accuracy: 0.6800, lr: 0.002
Epoch 165, Loss: 0.6703, Train Accuracy: 0.5917, Test Accuracy: 0.6867, lr: 0.002
Epoch 166, Loss: 0.6694, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 167, Loss: 0.6689, Train Accuracy: 0.5908, Test Accuracy: 0.6867, lr: 0.002
Epoch 168, Loss: 0.6690, Train Accuracy: 0.5900, Test Accuracy: 0.6933, lr: 0.002
Epoch 169, Loss: 0.6682, Train Accuracy: 0.5958, Test Accuracy: 0.6933, lr: 0.002
Epoch 170, Loss: 0.6665, Train Accuracy: 0.5950, Test Accuracy: 0.6800, lr: 0.002
Epoch 171, Loss: 0.6697, Train Accuracy: 0.5950, Test Accuracy: 0.7133, lr: 0.002
Epoch 172, Loss: 0.6726, Train Accuracy: 0.5975, Test Accuracy: 0.7067, lr: 0.002
Epoch 173, Loss: 0.6726, Train Accuracy: 0.5975, Test Accuracy: 0.6867, lr: 0.002
Epoch 174, Loss: 0.6700, Train Accuracy: 0.5883, Test Accuracy: 0.6800, lr: 0.002
Epoch 175, Loss: 0.6686, Train Accuracy: 0.5925, Test Accuracy: 0.6933, lr: 0.002
Epoch 176, Loss: 0.6700, Train Accuracy: 0.5950, Test Accuracy: 0.7133, lr: 0.002
Epoch 177, Loss: 0.6708, Train Accuracy: 0.5925, Test Accuracy: 0.6933, lr: 0.002
Epoch 178, Loss: 0.6714, Train Accuracy: 0.5908, Test Accuracy: 0.6933, lr: 0.002
Epoch 179, Loss: 0.6686, Train Accuracy: 0.5883, Test Accuracy: 0.6800, lr: 0.002
Epoch 180, Loss: 0.6693, Train Accuracy: 0.5892, Test Accuracy: 0.7000, lr: 0.002
Epoch 181, Loss: 0.6708, Train Accuracy: 0.5908, Test Accuracy: 0.7000, lr: 0.002
Epoch 182, Loss: 0.6702, Train Accuracy: 0.5917, Test Accuracy: 0.7067, lr: 0.002
Epoch 183, Loss: 0.6720, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 184, Loss: 0.6732, Train Accuracy: 0.5967, Test Accuracy: 0.6800, lr: 0.002
Epoch 185, Loss: 0.6688, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 186, Loss: 0.6688, Train Accuracy: 0.5875, Test Accuracy: 0.6867, lr: 0.002
Epoch 187, Loss: 0.6707, Train Accuracy: 0.5967, Test Accuracy: 0.6800, lr: 0.002
Epoch 188, Loss: 0.6688, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 189, Loss: 0.6699, Train Accuracy: 0.5950, Test Accuracy: 0.6800, lr: 0.002
Epoch 190, Loss: 0.6762, Train Accuracy: 0.5908, Test Accuracy: 0.6800, lr: 0.002
Epoch 191, Loss: 0.6724, Train Accuracy: 0.6008, Test Accuracy: 0.6800, lr: 0.002
Epoch 192, Loss: 0.6727, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 193, Loss: 0.6690, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 194, Loss: 0.6698, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 195, Loss: 0.6690, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 196, Loss: 0.6703, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 197, Loss: 0.6694, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 198, Loss: 0.6698, Train Accuracy: 0.5892, Test Accuracy: 0.7200, lr: 0.002
Epoch 199, Loss: 0.6701, Train Accuracy: 0.5858, Test Accuracy: 0.6800, lr: 0.002
Epoch 200, Loss: 0.6693, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 201, Loss: 0.6712, Train Accuracy: 0.5917, Test Accuracy: 0.6800, lr: 0.00199
Epoch 202, Loss: 0.6702, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.00197
Epoch 203, Loss: 0.6669, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.00195
