Epoch 206, Loss: 0.6725, Accuracy: 0.5908, lr: 0.0014461538461538461
Epoch 207, Loss: 0.6710, Accuracy: 0.6000, lr: 0.001430769230769231
Epoch 208, Loss: 0.6683, Accuracy: 0.5958, lr: 0.0014153846153846152
Epoch 209, Loss: 0.6674, Accuracy: 0.5917, lr: 0.0014
Epoch 210, Loss: 0.6676, Accuracy: 0.5992, lr: 0.0013846153846153845
Epoch 211, Loss: 0.6688, Accuracy: 0.5925, lr: 0.0013692307692307693
Epoch 212, Loss: 0.6678, Accuracy: 0.6000, lr: 0.001353846153846154
Epoch 213, Loss: 0.6673, Accuracy: 0.5975, lr: 0.0013384615384615386
Epoch 214, Loss: 0.6668, Accuracy: 0.5983, lr: 0.0013230769230769231
Epoch 215, Loss: 0.6710, Accuracy: 0.5950, lr: 0.0013076923076923077
Epoch 216, Loss: 0.6678, Accuracy: 0.6067, lr: 0.0012923076923076922
Epoch 217, Loss: 0.6705, Accuracy: 0.5967, lr: 0.0012769230769230768
Epoch 218, Loss: 0.6682, Accuracy: 0.6000, lr: 0.0012615384615384615
Epoch 219, Loss: 0.6679, Accuracy: 0.5975, lr: 0.0012461538461538463
Epoch 220, Loss: 0.6691, Accuracy: 0.5975, lr: 0.0012307692307692308
Epoch 221, Loss: 0.6697, Accuracy: 0.6033, lr: 0.0012153846153846156
Epoch 222, Loss: 0.6665, Accuracy: 0.6033, lr: 0.0012
Epoch 223, Loss: 0.6706, Accuracy: 0.5950, lr: 0.0011846153846153847
Epoch 224, Loss: 0.6685, Accuracy: 0.6008, lr: 0.0011692307692307692
Epoch 225, Loss: 0.6698, Accuracy: 0.6017, lr: 0.0011538461538461537
Epoch 226, Loss: 0.6678, Accuracy: 0.6067, lr: 0.0011384615384615385
Epoch 227, Loss: 0.6664, Accuracy: 0.5975, lr: 0.001123076923076923
Epoch 228, Loss: 0.6684, Accuracy: 0.6000, lr: 0.0011076923076923078
Epoch 229, Loss: 0.6690, Accuracy: 0.6042, lr: 0.0010923076923076926
Epoch 230, Loss: 0.6683, Accuracy: 0.6025, lr: 0.0010769230769230769
Epoch 231, Loss: 0.6692, Accuracy: 0.6050, lr: 0.0010615384615384616
Epoch 232, Loss: 0.6681, Accuracy: 0.5975, lr: 0.001046153846153846
Epoch 233, Loss: 0.6674, Accuracy: 0.6025, lr: 0.0010307692307692307
Epoch 234, Loss: 0.6671, Accuracy: 0.6083, lr: 0.0010153846153846153
Epoch 235, Loss: 0.6682, Accuracy: 0.5950, lr: 0.001
Epoch 236, Loss: 0.6679, Accuracy: 0.6058, lr: 0.0009846153846153848
Epoch 237, Loss: 0.6685, Accuracy: 0.6008, lr: 0.0009692307692307693
Epoch 238, Loss: 0.6692, Accuracy: 0.5958, lr: 0.0009538461538461538
Epoch 239, Loss: 0.6671, Accuracy: 0.6033, lr: 0.0009384615384615385
Epoch 240, Loss: 0.6684, Accuracy: 0.5950, lr: 0.0009230769230769232
Epoch 241, Loss: 0.6693, Accuracy: 0.6058, lr: 0.0009076923076923078
Epoch 242, Loss: 0.6686, Accuracy: 0.6050, lr: 0.0008923076923076922
Epoch 243, Loss: 0.6668, Accuracy: 0.6017, lr: 0.0008769230769230769
Epoch 244, Loss: 0.6669, Accuracy: 0.6058, lr: 0.0008615384615384617
Epoch 245, Loss: 0.6671, Accuracy: 0.5967, lr: 0.0008461538461538463
Epoch 246, Loss: 0.6663, Accuracy: 0.6042, lr: 0.0008307692307692307
Epoch 247, Loss: 0.6681, Accuracy: 0.5975, lr: 0.0008153846153846154
Epoch 248, Loss: 0.6681, Accuracy: 0.6025, lr: 0.0008
Epoch 249, Loss: 0.6665, Accuracy: 0.6083, lr: 0.0007846153846153847
Epoch 250, Loss: 0.6673, Accuracy: 0.5983, lr: 0.0007692307692307692
Epoch 251, Loss: 0.6676, Accuracy: 0.6108, lr: 0.0007538461538461539
Epoch 252, Loss: 0.6655, Accuracy: 0.6083, lr: 0.0007384615384615385
Epoch 253, Loss: 0.6670, Accuracy: 0.6033, lr: 0.0007230769230769232
Epoch 254, Loss: 0.6681, Accuracy: 0.6050, lr: 0.0007076923076923076
Epoch 255, Loss: 0.6660, Accuracy: 0.6000, lr: 0.0006923076923076923
Epoch 256, Loss: 0.6666, Accuracy: 0.6092, lr: 0.000676923076923077
Epoch 257, Loss: 0.6669, Accuracy: 0.5992, lr: 0.0006615384615384617
Epoch 258, Loss: 0.6671, Accuracy: 0.6050, lr: 0.0006461538461538461
Epoch 259, Loss: 0.6676, Accuracy: 0.6042, lr: 0.0006307692307692308
Epoch 260, Loss: 0.6672, Accuracy: 0.6033, lr: 0.0006153846153846154
Epoch 261, Loss: 0.6657, Accuracy: 0.6067, lr: 0.0006000000000000001
Epoch 262, Loss: 0.6675, Accuracy: 0.6050, lr: 0.0005846153846153846
Epoch 263, Loss: 0.6678, Accuracy: 0.6067, lr: 0.0005692307692307692
Epoch 264, Loss: 0.6666, Accuracy: 0.6117, lr: 0.0005538461538461539
